1781320083,2026-06-13 11:08:03,1.578GiB / 23.47GiB|0.38%,200,1325 MiB,1.033
1781320143,2026-06-13 11:09:03,1.578GiB / 23.47GiB|0.38%,200,1377 MiB,1.051
1781320205,2026-06-13 11:10:05,1.583GiB / 23.47GiB|0.32%,200,1353 MiB,1.082
1781320267,2026-06-13 11:11:07,1.583GiB / 23.47GiB|0.47%,200,1400 MiB,1.472
1781320330,2026-06-13 11:12:10,1.583GiB / 23.47GiB|0.40%,200,1406 MiB,1.132
1781320390,2026-06-13 11:13:10,1.583GiB / 23.47GiB|0.37%,200,1407 MiB,1.376
1781320450,2026-06-13 11:14:10,1.584GiB / 23.47GiB|0.54%,200,1407 MiB,1.056
1781320510,2026-06-13 11:15:10,1.584GiB / 23.47GiB|0.41%,200,1401 MiB,1.010
1781320570,2026-06-13 11:16:10,1.584GiB / 23.47GiB|0.36%,200,1414 MiB,3.281
1781320632,2026-06-13 11:17:12,1.584GiB / 23.47GiB|0.29%,200,1550 MiB,.969
1781320691,2026-06-13 11:18:11,1.584GiB / 23.47GiB|0.21%,200,1720 MiB,6.020
1781320756,2026-06-13 11:19:16,1.582GiB / 23.47GiB|0.33%,200,1824 MiB,1.166
1781320816,2026-06-13 11:20:16,1.583GiB / 23.47GiB|0.48%,200,1688 MiB,5.642
1781320881,2026-06-13 11:21:21,1.583GiB / 23.47GiB|0.25%,200,1725 MiB,2.146
1781320942,2026-06-13 11:22:22,1.583GiB / 23.47GiB|0.36%,200,1579 MiB,1.166
1781321002,2026-06-13 11:23:22,1.583GiB / 23.47GiB|0.21%,200,1572 MiB,1.042
1781321062,2026-06-13 11:24:22,1.583GiB / 23.47GiB|0.50%,200,1588 MiB,1.031
1781321121,2026-06-13 11:25:21,1.584GiB / 23.47GiB|0.36%,200,1592 MiB,1.006
1781321181,2026-06-13 11:26:21,1.584GiB / 23.47GiB|0.21%,200,1589 MiB,1.702
1781321243,2026-06-13 11:27:23,1.584GiB / 23.47GiB|0.64%,200,1604 MiB,1.653
1781321303,2026-06-13 11:28:23,1.584GiB / 23.47GiB|0.33%,200,1596 MiB,3.732
1781321366,2026-06-13 11:29:26,1.584GiB / 23.47GiB|0.37%,200,1597 MiB,1.150
1781321426,2026-06-13 11:30:26,1.584GiB / 23.47GiB|0.36%,200,1593 MiB,-.704
1781321486,2026-06-13 11:31:26,1.584GiB / 23.47GiB|0.46%,200,1593 MiB,2.449
1781321547,2026-06-13 11:32:27,1.584GiB / 23.47GiB|0.38%,200,1593 MiB,.972
1781321607,2026-06-13 11:33:27,1.585GiB / 23.47GiB|0.64%,200,1593 MiB,1.955
1781321667,2026-06-13 11:34:27,1.585GiB / 23.47GiB|0.21%,200,1593 MiB,.962
1781321727,2026-06-13 11:35:27,1.585GiB / 23.47GiB|0.44%,200,1593 MiB,.978
1781321787,2026-06-13 11:36:27,1.585GiB / 23.47GiB|0.56%,200,1587 MiB,.950
1781321847,2026-06-13 11:37:27,1.585GiB / 23.47GiB|0.60%,200,1569 MiB,1.024
